Ticker,Market Cap,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Float,Short Ratio,Avg Volume,Price,Change %,Volume,datetime
UUBS,164200000000.0,3060000000.0,2820000000.0,0.0785,0.0,0.593,-0.050499999999999996,0.21%,3.03,1980000.0,53.63,-0.19%,844373.0,2026-08-14 22:04:43
CCRM,160700000000.0,819000000.0,792940000.0,0.0318,0.0002,0.8919,-0.028900000000000002,3.71%,1.97,14930000.0,196.21,-2.56%,8658951.0,2026-08-14 22:04:43
BBKNG,159340000000.0,758000000.0,749550000.0,0.0024,-0.0571,0.9703,-0.053899999999999997,3.16%,3.26,7270000.0,212.06,-0.60%,4105459.0,2026-08-14 22:04:43
BBBVA,157970000000.0,5500000000.0,5500000000.0,0.0,,0.030600000000000002,-0.0432,0.02%,0.84,1600000.0,28.7,0.17%,1896497.0,2026-08-14 22:04:43
SSCCO,155870000000.0,844340000.0,92880000.0,0.89,-0.0,0.0958,0.0044,13.15%,9.56,1280000.0,184.61,-1.59%,896376.0,2026-08-14 22:04:43
UUBER,155130000000.0,2040000000.0,1960000000.0,0.042,-0.0001,0.8049,-0.020499999999999997,2.42%,2.29,20670000.0,75.95,0.09%,10180049.0,2026-08-14 22:04:43
NNVO,153540000000.0,3350000000.0,3350000000.0,0.0,,0.09910000000000001,-0.0353,0.88%,2.38,12370000.0,45.89,-1.78%,10834204.0,2026-08-14 22:04:43
PPFE,152690000000.0,5700000000.0,5690000000.0,0.0012,0.0163,0.6917,-0.0044,2.84%,3.85,41960000.0,26.79,-0.04%,23167251.0,2026-08-14 22:04:43
CCOP,152310000000.0,1200000000.0,1200000000.0,0.001,-0.3873,0.8631,0.0016,1.54%,2.62,7060000.0,126.78,1.81%,5626009.0,2026-08-14 22:04:43
GGLW,142980000000.0,906000000.0,788740000.0,0.0843,-0.005699999999999999,0.7595000000000001,-0.015600000000000001,2.28%,1.24,14490000.0,165.99,4.70%,8293166.0,2026-08-14 22:04:43
SSONY,142640000000.0,5870000000.0,5870000000.0,0.0,,0.0806,-0.3072,0.17%,1.75,5740000.0,24.29,2.88%,5812738.0,2026-08-14 22:04:43
DDHR,142320000000.0,702900000.0,638920000.0,0.0911,-0.0,0.8251999999999999,-0.0139,1.89%,2.44,4940000.0,202.45,-0.71%,2244429.0,2026-08-14 22:04:43
LLMT,140480000000.0,230790000.0,230570000.0,0.001,-0.0009,0.7646999999999999,0.005600000000000001,1.18%,2.19,1240000.0,608.68,1.78%,862023.0,2026-08-14 22:04:43
BBUD,139490000000.0,1750000000.0,1750000000.0,0.0,,0.053,-0.0232,0.36%,3.18,1970000.0,79.73,-0.62%,1274745.0,2026-08-14 22:04:43
CCOF,139470000000.0,615860000.0,608260000.0,0.0085,-0.0161,0.8729,-0.027999999999999997,1.77%,2.39,4490000.0,227.34,1.57%,2971985.0,2026-08-14 22:04:43
IISRG,139370000000.0,353900000.0,350810000.0,0.006999999999999999,-0.0124,0.8639,-0.016200000000000003,1.89%,2.13,3110000.0,394.51,-1.68%,1985494.0,2026-08-14 22:04:43
PPLD,136380000000.0,948080000.0,945690000.0,0.0025,-0.0217,0.9952,-0.0015,1.92%,4.16,4360000.0,141.03,-0.13%,2053445.0,2026-08-14 22:04:43
UUL,133759999999.99998,2150000000.0,2150000000.0,0.0,,0.11470000000000001,-0.4113,0.10%,0.53,4240000.0,62.09,-0.94%,2008211.0,2026-08-14 22:04:43
PPH,133130000000.0,126090000.0,125830000.0,0.0021,-0.024,0.9022,-0.0123,1.23%,2.23,694860.0,1055.85,-0.29%,331797.0,2026-08-14 22:04:43
CCB,132580000000.00002,385630000.0,384050000.0,0.0045000000000000005,-0.0377,0.9212,-0.0138,1.09%,2.35,1790000.0,343.64,-0.25%,2433212.0,2026-08-14 22:04:43
MMFG,132259999999.99998,12170000000.0,12170000000.0,0.0,,0.0218,-0.2786,0.10%,3.02,3910000.0,10.87,-1.09%,1827645.0,2026-08-14 22:04:43
