pv,bond_dirty_price,ls,lt,dp,type,du,id,iopv,ig,ed,change_vs_pc_percentage,ej,clo,el,v_,ex,nc,vl,cur,fn,trading_time,bl,sc,bv,dpc,iiv,sip,bond_clean_price,cc,ptd,b,issuer-name,c,sv,h,i,cn,l,m,n,o,p_,cr,p,bond_accrued_interest,change_vs_pc,r,s,cx,v,lf,bond_date,datetime,datetime_sg
0.355,,P,0.36,,stocks,,0,0.0,,,,,,0.0,,,S08,8038.7,SGD,,20260709_091600,100,H,2515.1,,,,,,20260708,0.355,SingPost,0.005,4819.3,0.36,,,0.35,MAINBOARD,SingPost,0.355,,,1.408,,,CD,0.360,0.0,2867077.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.305,,P,0.305,,stocks,,0,0.0,,,,,,0.0,,,S19,341.3,SGD,,20260709_091600,100,N,10.5,,,,,,20260708,0.305,SingShipping,0.0,128.8,0.305,,,0.3,MAINBOARD,SingShipping,0.305,,,0.0,,,CD,0.310,0.0,103468.5,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
4.37,,P,4.39,,stocks,,0,0.0,,,,,,0.0,,,Z74,25491.5,SGD,,20260709_091600,100,J,395.3,,,,,,20260708,4.380,Singtel,0.02,221.2,4.42,,,4.35,MAINBOARD,Singtel,4.38,,,0.458,,,CD,4.390,0.0,111933535.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
4.38,,P,4.41,,stocks,,0,0.0,,,,,,0.0,,,Z77,36.69,SGD,,20260709_091600,10,J,1.85,,,,,,20260708,4.390,Singtel 10,0.03,6.57,4.42,,,4.35,MAINBOARD,Singtel 10,4.38,,,0.685,,,CD,4.410,0.0,161236.2,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.305,,P,0.31,0.0,dlcertificates,0.0,0,0.0,25.0,2028-03-07,,,,0.0,,,XNEW,244.5,SGD,,20260709_091600,100,,3.5,0.0,,@,,,,0.280,Singtel 5xLongSG280307,0.014,0.3,0.315,,,0.29,MAINBOARD,Singtel 5xLongSG280307,0.295,,,4.73,,0.3,,0.320,0.296,72850.0,5.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.235,,P,0.235,0.0,dlcertificates,0.0,0,0.0,25.0,2027-06-30,,,,0.0,,,HMAW,0.0,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,Singtel 5xLongUB270630,0.0,0.1,0.0,,,0.0,MAINBOARD,Singtel 5xLongUB270630,0.0,,,0.0,,,,0.250,0.232,0.0,5.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.021,,P,0.02,0.0,dlcertificates,0.0,0,0.0,26.0,2026-12-17,,,,0.0,,,UVHW,1.0,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,Singtel 5xShortSG261217,-0.001,0.0,0.02,,,0.02,MAINBOARD,Singtel 5xShortSG261217,0.02,,,-4.762,,,,,0.021,20.0,5.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.42,,P,0.415,0.0,dlcertificates,0.0,0,0.0,26.0,2028-05-16,,,,0.0,,,GLJW,7.5,SGD,,20260709_091600,100,,0.0,0.0,,@,,,,,Singtel 5xShortSG280516,0.004,0.0,0.425,,,0.415,MAINBOARD,Singtel 5xShortSG280516,0.425,,,0.973,,,,,0.411,3162.5,5.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.002,,P,0.002,,structuredwarrants,,0,0.0,16.0,2026-07-30,,,,5.0,,,LOTW,0.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,SingtelMBeCW260730,0.0,1.8,0.0,,,0.0,MAINBOARD,SingtelMBeCW260730,0.0,,15:1,0.0,,,,0.006,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.009,,P,0.009,,structuredwarrants,,0,0.0,16.0,2026-10-30,,,,4.9,,,YFQW,58.1,SGD,,20260709_091600,100,,0.0,,,@,,,,,SingtelMBeCW261030,0.0,5.0,0.009,,,0.009,MAINBOARD,SingtelMBeCW261030,0.009,,15:1,0.0,,,,0.020,0.0,522.9,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.02,,P,0.02,,structuredwarrants,,0,0.0,16.0,2026-12-29,,,,4.8,,,NHYW,0.0,SGD,,20260709_091600,100,,0.0,,,@,,,,,SingtelMBeCW261229,0.0,0.0,0.0,,,0.0,MAINBOARD,SingtelMBeCW261229,0.0,,12:1,0.0,,,,,0.0,0.0,0.0,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.02,,P,0.02,,stocks,,0,0.0,,,,,,0.0,,,T4B,0.0,SGD,,20260709_091600,100,C,0.0,,,,,,20201124,,Sino Grandness,0.0,0.0,0.0,SUSP,,0.0,MAINBOARD,Sino Grandness,0.0,,,0.0,,,,,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.013,,P,0.013,,stocks,,0,0.0,,,,,,0.0,,,LYY,0.0,SGD,,20260709_091600,100,J,0.0,,,,,,20250328,,SinoCloud Grp,0.0,0.0,0.0,SUSP,,0.0,CATALIST,SinoCloud Grp,0.0,,,0.0,,,,,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.096,,P,0.097,,stocks,,0,0.0,,,,,,0.0,,,C9Q,24.9,SGD,,20260709_091600,100,C,0.1,,,,,,20260708,0.096,Sinostar Pec,0.001,1.0,0.097,,,0.096,MAINBOARD,Sinostar Pec,0.096,,,1.042,,,,0.100,0.0,2395.4,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.027,,P,0.027,,stocks,,0,0.0,,,,,,0.0,,,5LE,0.0,SGD,,20260709_091600,100,C,469.2,,,,,,20260707,0.024,Sitra,0.0,385.8,0.0,,,0.0,CATALIST,Sitra,0.0,,,0.0,,,,0.027,0.0,0.0,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
0.215,,P,0.215,,stocks,,0,0.0,,,,,,0.0,,,XZB,6.4,SGD,,20260709_091600,100,B,83.2,,,,,,20260708,0.205,Skylink,0.0,249.1,0.215,,,0.21,CATALIST,Skylink,0.215,,,0.0,,,,0.215,0.0,1349.5,,,2026-07-09 12:19:08,2026-07-09 20:19:08+0800
